,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
1403,GEDFX,GMO Emerging Domestic Opportunities VI,23.709,0.29,0.069,23.71,23.71,23.71,23.71
1404,BFOCX,Berkshire Focus Fund,31.4,-0.19,-0.06,33.67,22.13,29.442942,29.059706
1405,SEBLX,Touchstone Balanced Fund Class A,21.2,-0.19,-0.040002,23.46,17.28,20.354118,21.037132
1406,HAOYX,The Hartford International Opportunities Fund Class Y,14.99,0.33,0.05,17.68,11.87,14.21353,15.728162
1407,AVEGX,Ave Maria Growth Fund,37.23,0.24,0.09,40.7,25.66,34.080296,35.90544
1408,DPSCX,BNY Mellon Structured Midcap Fund Class C,18.72,-1.47,-0.28,23.39,12.99,17.079706,19.908014
1409,GIBCX,Guggenheim Total Return Bond Fund Class C,28.58,0.11,0.03,28.81,27.02,28.2,27.65206
1410,GEDTX,GMO Emerging Domestic Opportunities Fund Class II,19.58,-0.71,-0.14,23.68,16.73,19.332058,21.064192
1411,QCSCX,Federated MDT Small Cap Core Fund Class C,13.93,-2.25,-0.32,17.27,9.63,12.665294,14.7475
1412,PABCX,PGIM Balanced Fund- Class C,15.13,-0.26,-0.04,16.62,12.19,14.484411,15.342353
1413,HAMVX,Harbor Mid Cap Value Fund Institutional Class,15.58,-2.32,-0.37,21.84,10.88,14.09853,17.891766
1414,CIPNX,Champlain Small Company Fund Institutional Class,18.34,-1.56,-0.290001,21.38,12.97,16.544706,18.29066
